,City,State,Address,lon,lat,Region,Team
101,Colorado Springs,CO,"Colorado Springs, CO",-104.8213634,38.8338816,West,Colorado College
102,Grand Junction,CO,"Grand Junction, CO",-108.5506486,39.0638705,West,Colorado Mesa
103,Golden,CO,"Golden, CO",-105.2210997,39.755543,West,Colorado School of Mines
104,Fort Collins,CO,"Fort Collins, CO",-105.084423,40.5852602,West,Colorado State
105,Pueblo,CO,"Pueblo, CO",-104.6091409,38.2544472,West,Colorado State Pueblo
106,New York,NY,"New York, NY",-74.0059728,40.7127753,MidAtlantic,Columbia
107,Bronxville,NY,"Bronxville, NY",-73.8320784,40.9381544,MidAtlantic,Concordia
108,Irvine,CA,"Irvine, CA",-117.8265049,33.6845673,Pacific,Concordia Irvine
109,New London,CT,"New London, CT",-72.0995209,41.3556539,NewEngland,Connecticut
110,Spartanburg,SC,"Spartanburg, SC",-81.9320482,34.9495672,South,Converse
111,Ithaca,NY,"Ithaca, NY",-76.5018807,42.4439614,MidAtlantic,Cornell
112,Hanover,NH,"Hanover, NH",-72.2895526,43.7022451,NewEngland,Dartmouth
113,Grand Rapids,MI,"Grand Rapids, MI",-85.6680863,42.9633599,MidWest,Davenport
114,Davidson,NC,"Davidson, NC",-80.8486846,35.4993031,South,Davidson
115,Elkins,WV,"Elkins, WV",-79.8467349,38.9259397,MidAtlantic,Davis & Elkins
116,Greencastle,IN,"Greencastle, IN",-86.8647316,39.6444898,MidWest,DePauw
117,Newark,DE,"Newark, DE",-75.7496572,39.6837226,MidAtlantic,Delaware
118,Cleveland,MS,"Cleveland, MS",-90.7248187,33.7440023,South,Delta State
119,Granville,OH,"Granville, OH",-82.5196037,40.0681192,MidWest,Denison
120,Denver,CO,"Denver, CO",-104.990251,39.7392358,West,Denver
121,Carlisle,PA,"Carlisle, PA",-77.2002745,40.2010241,MidAtlantic,Dickinson
122,Saint George,UT,"Saint George, UT",-113.5684164,37.0965278,West,Dixie State
123,Madison,NJ,"Madison, NJ",-74.417097,40.7598227,MidAtlantic,Drew
124,Philadelphia,PA,"Philadelphia, PA",-75.1652215,39.9525839,MidAtlantic,Drexel
125,Springfield,MO,"Springfield, MO",-93.2922989,37.2089572,MidWest,Drury
126,Philadelphia,PA,"Philadelphia, PA",-75.1652215,39.9525839,MidAtlantic,Penn
127,Pittsburgh,PA,"Pittsburgh, PA",-79.9958864,40.4406248,MidAtlantic,Duquesne
128,Greenville,NC,"Greenville, NC",-77.3663538,35.612661,South,East Carolina
129,East Stroudsburg,PA,"East Stroudsburg, PA",-75.1812913,40.9995386,MidAtlantic,East Stroudsburg
130,Willimantic,CT,"Willimantic, CT",-72.2081338,41.7106543,NewEngland,Eastern Connecticut
131,Charleston,IL,"Charleston, IL",-88.1761521,39.4961458,MidWest,Eastern Illinois
132,Ypsilanti,MI,"Ypsilanti, MI",-83.6129939,42.2411499,MidWest,Eastern Michigan
133,Edinboro,PA,"Edinboro, PA",-80.1317236,41.8742225,MidAtlantic,Edinboro
134,Elizabethtown,PA,"Elizabethtown, PA",-76.6027455,40.1528719,MidAtlantic,Elizabethtown
135,Chicopee,MA,"Chicopee, MA",-72.6078672,42.1487043,NewEngland,Elms
136,Boston,MA,"Boston, MA",-71.0588801,42.3600825,NewEngland,Emmanuel
137,Atlanta,GA,"Atlanta, GA",-84.3879824,33.7489954,South,Emory
138,Emory,VA,"Emory, VA",-81.834939,36.773811,MidAtlantic,Emory & Henry
139,Evansville,IN,"Evansville, IN",-87.5710898,37.9715592,MidWest,Evansville
140,Fairfield,CT,"Fairfield, CT",-73.2612615,41.1408363,NewEngland,Fairfield
141,Madison,NJ,"Madison, NJ",-74.417097,40.7598227,MidAtlantic,Fairleigh Dickinson Florham
142,Fairmont,WV,"Fairmont, WV",-80.1425781,39.4850848,MidAtlantic,Fairmont State
143,Ferrum,VA,"Ferrum, VA",-80.0133712,36.9229159,MidAtlantic,Ferrum
144,Findlay,OH,"Findlay, OH",-83.6499321,41.04422,MidWest,Findlay
145,Gainesville,FL,"Gainesville, FL",-82.3248262,29.6516344,South,Florida
146,Boca Raton,FL,"Boca Raton, FL",-80.1289321,26.3683064,South,Florida Atlantic
147,Fort Myers,FL,"Fort Myers, FL",-81.8723084,26.640628,South,Florida Gulf Coast
148,Miami,FL,"Miami, FL",-80.1917902,25.7616798,South,Florida International
149,Lakeland,FL,"Lakeland, FL",-81.9498042,28.0394654,South,Florida Southern
150,Tallahassee,FL,"Tallahassee, FL",-84.2807329,30.4382559,South,Florida State
151,Melbourne,FL,"Melbourne, FL",-80.6081089,28.0836269,South,Florida Tech
152,New York,NY,"New York, NY",-74.0059728,40.7127753,MidAtlantic,Fordham
153,Steubenville,OH,"Steubenville, OH",-80.6339638,40.3697905,MidWest,Franciscan University of Steubenville
154,Franklin,IN,"Franklin, IN",-86.0549863,39.4806055,MidWest,Franklin
155,Lancaster,PA,"Lancaster, PA",-76.1783739,40.0466571,MidAtlantic,Franklin and Marshall
156,Fresno,CA,"Fresno, CA",-119.7871247,36.7377981,Pacific,Fresno Pacific
157,Fresno,CA,"Fresno, CA",-119.7871247,36.7377981,Pacific,Fresno State
158,Frostburg,MD,"Frostburg, MD",-78.928357,39.6581424,MidAtlantic,Frostburg State
159,Washington,DC,"Washington, DC",-77.0368707,38.9071923,MidAtlantic,Gallaudet
160,Erie,PA,"Erie, PA",-80.085059,42.1292241,MidAtlantic,Gannon
161,Boiling Springs,NC,"Boiling Springs, NC",-81.6670407,35.254292,South,Gardner-Webb
162,Newberg,OR,"Newberg, OR",-122.9469406,45.3064628,Pacific,George Fox
163,Fairfax,VA,"Fairfax, VA",-77.3063733,38.8462236,MidAtlantic,George Mason
164,Washington,DC,"Washington, DC",-77.0368707,38.9071923,MidAtlantic,George Washington
165,Washington,DC,"Washington, DC",-77.0368707,38.9071923,MidAtlantic,Georgetown
166,Athens,GA,"Athens, GA",-83.357567,33.9519347,South,Georgia
167,Statesboro,GA,"Statesboro, GA",-81.7831674,32.4487876,South,Georgia Southern
168,Atlanta,GA,"Atlanta, GA",-84.3879824,33.7489954,South,Georgia Tech
169,Gettysburg,PA,"Gettysburg, PA",-77.2310955,39.8309293,MidAtlantic,Gettysburg
170,Wenham,MA,"Wenham, MA",-70.8911612,42.604261,NewEngland,Gordon
171,Baltimore,MD,"Baltimore, MD",-76.6121893,39.2903848,MidAtlantic,Goucher
172,Phoenix,AZ,"Phoenix, AZ",-112.0740373,33.4483771,SouthWest,Grand Canyon
173,Allendale,MI,"Allendale, MI",-85.9540407,42.9721934,MidWest,Grand Valley State
174,Greensboro,NC,"Greensboro, NC",-79.7919754,36.0726354,South,Greensboro
175,Grinnell,IA,"Grinnell, IA",-92.7232456,41.7434092,MidWest,Grinnell
176,Grove City,PA,"Grove City, PA",-80.0886703,41.1578377,MidAtlantic,Grove City
177,Greensboro,NC,"Greensboro, NC",-79.7919754,36.0726354,South,Guilford
178,St. Peter,MN,"St. Peter, MN",-93.955691,44.3258932,MidWest,Gustavus Adolphus
179,Clinton,NY,"Clinton, NY",-75.3785034,43.0484029,MidAtlantic,Hamilton
180,St. Paul,MN,"St. Paul, MN",-93.0899578,44.9537029,MidWest,Hamline
181,Hampden-Sydney,VA,"Hampden-Sydney, VA",-78.4597173,37.2423746,MidAtlantic,Hampden-Sydney
182,Hanover,IN,"Hanover, IN",-85.4735707,38.7142263,MidWest,Hanover
183,Oneonta,NY,"Oneonta, NY",-75.0637746,42.4528571,MidAtlantic,Hartwick
184,Cambridge,MA,"Cambridge, MA",-71.1097335,42.3736158,NewEngland,Harvard
185,Honolulu,HI,"Honolulu, HI",-157.8583333,21.3069444,Hawaii,Hawaii
186,Arkadelphia,AR,"Arkadelphia, AR",-93.0537839,34.1209292,South,Henderson State
187,Conway,AR,"Conway, AR",-92.4421011,35.0886963,South,Hendrix
188,Hillsdale,MI,"Hillsdale, MI",-84.6305101,41.9200472,MidWest,Hillsdale
189,Hiram,OH,"Hiram, OH",-81.1437098,41.3125552,MidWest,Hiram
190,Roanoke,VA,"Roanoke, VA",-79.9414266,37.2709704,MidAtlantic,Hollins
191,New Orleans,LA,"New Orleans, LA",-90.0715323,29.9510658,South,Holy Cross
192,Frederick,MD,"Frederick, MD",-77.4105409,39.4142688,MidAtlantic,Hood
193,Holland,MI,"Holland, MI",-86.1089301,42.7875235,MidWest,Hope College
194,Houston,TX,"Houston, TX",-95.3698028,29.7604267,SouthWest,Houston
195,Washington,DC,"Washington, DC",-77.0368707,38.9071923,MidAtlantic,Howard
196,New York,NY,"New York, NY",-74.0059728,40.7127753,MidAtlantic,Hunter
197,Bangor,ME,"Bangor, ME",-68.7712257,44.8016128,NewEngland,Husson
198,Indiana,PA,"Indiana, PA",-79.1096901,40.6850762,MidAtlantic,IUP
199,Indianapolis,IN,"Indianapolis, IN",-86.158068,39.768403,MidWest,IUPUI
200,Caldwell,ID,"Caldwell, ID",-116.6873596,43.6629384,West,Idaho
201,Champaign,IL,"Champaign, IL",-88.2433829,40.1164204,MidWest,Illinois
202,Houghton,NY,"Houghton, NY",-78.1572319,42.4233981,MidAtlantic,Illinois College
203,Normal,IL,"Normal, IL",-88.9906312,40.5142026,MidWest,Illinois State
204,Chicago,IL,"Chicago, IL",-87.6297982,41.8781136,MidWest,Illinois Tech
205,Bloomington,IL,"Bloomington, IL",-88.9936873,40.4842027,MidWest,Illinois Wesleyan
206,Chicago,IL,"Chicago, IL",-87.6297982,41.8781136,MidWest,Illinois-Chicago
207,Immaculata,PA,"Immaculata, PA",-75.5705399,40.0279142,MidAtlantic,Immaculata
208,San Antonio,TX,"San Antonio, TX",-98.4936282,29.4241219,SouthWest,Incarnate Word
209,Bloomington,IN,"Bloomington, IN",-86.5263857,39.165325,MidWest,Indiana
210,Terre Haute,IN,"Terre Haute, IN",-87.4139092,39.4667034,MidWest,Indiana State
211,Indianapolis,IN,"Indianapolis, IN",-86.158068,39.768403,MidWest,Indianapolis
212,New Rochelle,NY,"New Rochelle, NY",-73.7823549,40.9114882,MidAtlantic,Iona
213,Iowa City,IA,"Iowa City, IA",-91.5301683,41.6611277,MidWest,Iowa
214,Ames,IA,"Ames, IA",-93.6319131,42.0307812,MidWest,Iowa State
215,Ithaca,NY,"Ithaca, NY",-76.5018807,42.4439614,MidAtlantic,Ithaca
216,Harrisonburg,VA,"Harrisonburg, VA",-78.8689155,38.4495688,MidAtlantic,James Madison
217,University Heights,OH,"University Heights, OH",-81.5373456,41.4978306,MidWest,John Carroll
218,New York,NY,"New York, NY",-74.0059728,40.7127753,MidAtlantic,John Jay
219,Baltimore,MD,"Baltimore, MD",-76.6121893,39.2903848,MidAtlantic,Johns Hopkins
220,Huntingdon,PA,"Huntingdon, PA",-78.0195387,40.4155273,MidAtlantic,Juniata
221,Kalamazoo,MI,"Kalamazoo, MI",-85.5872286,42.2917069,MidWest,Kalamazoo
222,Lawrence,KS,"Lawrence, KS",-95.2352501,38.9716689,West,Kansas
223,Union,NJ,"Union, NJ",-74.2631635,40.6975898,MidAtlantic,Kean
224,Keene,NH,"Keene, NH",-72.2781409,42.933692,NewEngland,Keene State
225,Lexington,KY,"Lexington, KY",-84.5037164,38.0405837,South,Kentucky
226,Gambier,OH,"Gambier, OH",-82.3971038,40.3756194,MidWest,Kenyon
227,Bristol,TN,"Bristol, TN",-82.1887444,36.5951059,South,King
228,Wilkes-Barre,PA,"Wilkes-Barre, PA",-75.8813075,41.2459149,MidAtlantic,King's
229,Galesburg,IL,"Galesburg, IL",-90.3712395,40.9478158,MidWest,Knox
230,Kutztown,PA,"Kutztown, PA",-75.7774177,40.5173165,MidAtlantic,Kutztown
231,Brooklyn,NY,"Brooklyn, NY",-73.9441579,40.6781784,MidAtlantic,LIU Brooklyn
232,Brookville,NY,"Brookville, NY",-73.5673482,40.8131553,MidAtlantic,LIU Post
233,Baton Rouge,NA,"Baton Rouge, LA",-91.1871,30.4515,South,LSU
234,Philadelphia,PA,"Philadelphia, PA",-75.1652215,39.9525839,MidAtlantic,La Salle
235,La Verne,CA,"La Verne, CA",-117.7678355,34.1008426,Pacific,La Verne
236,LaGrange,GA,"LaGrange, GA",-85.0322444,33.0362218,South,LaGrange
237,Easton,PA,"Easton, PA",-75.2207323,40.688432,MidAtlantic,Lafayette
238,Lake Forest,IL,"Lake Forest, IL",-87.840625,42.2586342,MidWest,Lake Forest
239,Appleton,WI,"Appleton, WI",-88.4153847,44.2619309,MidWest,Lawrence
240,Syracuse,NY,"Syracuse, NY",-76.1474244,43.0481221,MidAtlantic,Le Moyne
241,Annville,PA,"Annville, PA",-76.5152443,40.3295359,MidAtlantic,Lebanon Valley
242,Banner Elk,NC,"Banner Elk, NC",-81.8715019,36.1631817,South,Lees-McRae
243,Bethlehem,PA,"Bethlehem, PA",-75.3704579,40.6259316,MidAtlantic,Lehigh
244,Bronx,NY,"Bronx, NY",-73.8648268,40.8447819,MidAtlantic,Lehman
245,Hickory,NC,"Hickory, NC",-81.3444573,35.7344538,South,Lenoir-Rhyne
246,Romeoville,IL,"Romeoville, IL",-88.0895061,41.6475306,MidWest,Lewis
247,Portland,OR,"Portland, OR",-122.6587185,45.5122308,Pacific,Lewis & Clark
248,Lynchburg,VA,"Lynchburg, VA",-79.1422464,37.4137536,MidAtlantic,Liberty
249,St. Charles,MO,"St. Charles, MO",-90.4974359,38.7881062,MidWest,Lindenwood
250,McMinnville,OR,"McMinnville, OR",-123.1987163,45.2101162,Pacific,Linfield
251,Lock Haven,PA,"Lock Haven, PA",-77.4469263,41.1370133,MidAtlantic,Lock Haven
252,Dubuque,IA,"Dubuque, IA",-90.6645718,42.5005583,MidWest,Loras
253,Louisville,KY,"Louisville, KY",-85.7584557,38.2526647,South,Louisville
254,Baltimore,MD,"Baltimore, MD",-76.6121893,39.2903848,MidAtlantic,Loyola Maryland
255,Los Angeles,CA,"Los Angeles, CA",-118.2436849,34.0522342,Pacific,Loyola Marymount
256,Decorah,IA,"Decorah, IA",-91.7857092,43.3033056,MidWest,Luther
257,Williamsport,PA,"Williamsport, PA",-77.0010786,41.2411897,MidAtlantic,Lycoming
258,Boca Raton,FL,"Boca Raton, FL",-80.1289321,26.3683064,South,Lynn
259,Cambridge,MA,"Cambridge, MA",-71.1097335,42.3736158,NewEngland,MIT
260,St. Paul,MN,"St. Paul, MN",-93.0899578,44.9537029,MidWest,Macalester
261,Orono,ME,"Orono, ME",-68.6719411,44.8831125,NewEngland,Maine
262,Castine,ME,"Castine, ME",-68.7989582,44.3888609,NewEngland,Maine Maritime
263,Canton,OH,"Canton, OH",-81.378447,40.7989473,MidWest,Malone
